ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена
411551,12+,9785942786274,Фрай М.,,2014,0,"Амфора, ООО",254,Магахонские Лисы,https://img-gorod.ru/upload/iblock/32c/32ce74e14e867b8825a2ef81b2e664d2.jpg,,,0,Лабиринты Ехо,Мягкая глянцевая,3000,18 x 11.5 x 1,,154
411552,12+,9785942786281,Фрай М.,,2014,1,"Амфора, ООО",255,Путешествие в Кеттари,https://img-gorod.ru/upload/iblock/2a2/2a22689e0413cb36dd1fdbca1c5c013b.jpg,,,5,Лабиринты Ехо,Мягкая бумажная,3000,18 x 11.5 x 1,,142
411629,12+,9785942786229,Фрай М.,,2014,0,"Амфора, ООО",315,Корабль из Арвароха и другие неприятности,https://img-gorod.ru/upload/iblock/049/0491db1b15ac06f0d51a1b2638e175c9.jpg,,,0,Лабиринты Ехо,Мягкая бумажная,3000,18 x 11.7 x 2,,182
442981,2213092,9785367011111,Фрай М.,,2014,1,"Амфора, ООО",320,Чуб Земли,https://img-gorod.ru/upload/iblock/632/6320979b00fac11d1a70122fbe4ba940.jpg,,,5,Хроники Ехо,Мягкая глянцевая,3000,18 x 11.5 x 2,,149
471783,2379911,9785367024340,Фрай М.,12+,2013,2,"Амфора, ООО",447,"Дар Шаванахолы. История, рассказанная сэром Максом из Ехо. Хроники Ехо 7",https://img-gorod.ru/upload/iblock/e18/e180182116a815ff3736a85e59c6b6ce.jpg,,,4,Хроники Ехо,Мягкая глянцевая,7000,18 x 11.5 x 2.6,,149
710328,12+,9785367029536,Фрай М.,,2014,1,"Амфора, ООО",480,Сказки старого Вильнюса III,https://img-gorod.ru/upload/iblock/f3c/f3cd8c53e48c2ffb47c3145a064a4f25.jpg,,,5,,Твердая бумажная,7000,22 x 14.5 x 2.7,,504
723716,2407873,9785170839506,Фрай М.,,2014,2,АСТ,416,"Ветры, ангелы и люди",https://img-gorod.ru/upload/iblock/7a6/7a6a079ffd4abb1f39c88f8e15e69471.jpg,,,5,,Твердая бумажная,12000,20.7 x 13.3 x 2.8,,332
765102,12+,9785170872688,Фрай М.,,2014,8,АСТ,384,Мастер ветров и закатов,https://img-gorod.ru/upload/iblock/246/246995a57267f5f3f4f000207305ecdb.jpg,,,5,Сновидения Ехо,Твердая бумажная,33000,20.8 x 13.5 x 2.7,,359
779618,2443165,9785170872664,Фрай М.,12+,2015,28,АСТ,640,Чужак,https://img-gorod.ru/upload/iblock/544/5444a87c855f3f63224c4078e40b259f.jpg,,,4,Лабиринты Ехо,Твердая бумажная,5000,20 x 13.3 x 3.6,,359
784979,12+,9785170878468,Фрай М.,,2015,13,АСТ,640,Волонтеры Вечности,https://img-gorod.ru/upload/iblock/acf/acf701f201dba3e513706bcebe0b6afb.jpg,,,4,Лабиринты Ехо,Твердая бумажная,4000,20.6 x 12.9 x 3.6,,359
